user_id, username, neuroticism, extraversion, openness, agreeableness, conscientiousness
1173208464,aleswift,99,61,92,85,81
2865129242,china_heatbeat,84,86,65,77,102
1495101707688321024,noctisnier,90,59,88,84,55
736625473229185024,inkriziz,75,60,78,98,98
1493401204504023041,hiru_kyukei_,89,89,103,95,80
1303268956770271232,h9_fsh,76,48,67,71,94
1521588939995463680,felipekessl3r,49,88,87,83,109
1049487230585237504,jatinhalucas,50,90,92,92,96
266161024,djdobermann2015,89,79,86,71,77
1017676080,rzkch24,86,81,71,80,82
33538597,bymarcelorocha,52,72,84,95,107
102728621,iamvenant,45,93,102,77,101
241794598,fariz_kamal,73,88,82,74,84
24912713,edutenadg,53,85,71,91,98
3079111126,coramell0,86,59,96,79,68
1530086454663479297,sugisan5963,63,62,91,85,76
695592116974522368,lavien_rose24,82,72,73,73,91
952581407477399553,bucinnyaadek,94,42,74,36,74
727518985814724610,erickpanchidj19,88,85,98,84,105
937117080087797760,runa_momo7,76,67,71,86,82
607825004,anastasyajubi26,74,78,90,86,75
1026110084,aganangga,79,81,69,81,80
308238534,annasalazarm,74,100,105,96,110
1271444650352676864,oliviaviaiaa,61,82,83,70,81
1252262243019808779,kalvin78935645,94,65,69,70,70
19673151,mkt_fernanda,88,73,74,82,89
1268450381396234241,punniiiii_,76,48,76,87,83
1093323201445150722,kaowstonkao,77,63,95,91,110
1169588662390018050,ppingkii,88,74,108,88,75
877353313460793348,taim_lw,85,55,87,97,66
140252416,arangojuan,51,88,90,98,107
1379002004475887617,noyessino_,78,88,99,81,87
1465929030872363010,amiddle_of_june,67,67,84,92,90
1517185944880762881,leeminju04,83,66,108,89,103
2699407710,alililino,78,58,87,88,90
1220644212,d0notloseheart,76,65,86,99,91
1391826104109998086,abath_00,60,77,87,78,102
1509178753708134408,finalbraince11,85,77,98,70,75
1208083625419399171,albaly_mahmoud,89,57,83,97,90
1160664606270005248,3amer_00,57,56,75,97,105
802451530574102528,haideralrekabi9,64,86,84,84,81
207091016,bossmima,84,64,68,100,86
1245466863229952007,asolasmartin,72,76,65,87,101
1519345388658237441,ynjnwf,84,65,76,93,71
960487129036963840,xy0huujvgokmfcm,81,63,81,64,72
1500530019835445248,kkkk__00000,85,54,79,80,89
917684276036030465,vincentldle,56,90,107,78,98
1289453595025272832,wingerbbq,81,53,79,77,66
1498443818223685634,dzosjk7,68,67,80,60,87
391370138,yasin11nya,70,70,98,95,65
1486211643520475138,slvschwrz,85,68,109,72,78
563857214,yunuem_no_esta,69,84,100,86,83
563857214,yunuem_no_esta,69,84,100,86,83
911891700066304000,sugarholic_33,98,62,86,89,81
46880927,biggaamalia,57,66,93,97,77
96988704,renard_leo,98,79,105,56,91
1353830445834625045,fuuka_cu_aurora,76,69,84,91,51
1388127022384390154,imstefanon,58,56,80,83,93
1436917519575441412,bx2eub3vn61rvt6,62,56,82,79,52
1517816594902134784,dalbida,79,78,102,82,71
1230210006416420864,istp_mao,56,63,68,66,77
1276876720998473730,hersey_infp,72,61,97,107,70
1526701014467809280,apparition_o_o,57,72,60,60,51
868546771047337985,brahimabad14,62,79,94,78,97
301396235,stevie8sena,96,57,97,86,89
1076150154254725127,autumn_sunflo,66,66,84,85,85
110982748,devil_kane,46,95,106,87,75
71298485,rencastro,81,83,83,85,65
1520193575274885120,wrong_dlz,96,49,64,68,70
1455977260306116620,gzashchitniki,58,78,84,74,94
1317072417890729990,azevedo_jps,91,62,75,65,59
911844348207050757,apsanke,83,79,87,79,72
1514095224557084674,atletbarbaros,41,88,101,89,106
832755978600800257,rafaellc_c,78,71,97,81,77
729664431462875137,poohnyan_tomato,58,70,104,93,79
1476361395126034435,crazy_kirt,67,61,80,83,69
335064474,melsyte,58,80,87,110,114
1263107669314940930,mongas_44,70,91,80,81,73
1513285774850117633,3ndl3sslygr0wth,51,81,112,98,87
63996455,ita_mergulho,57,90,97,77,81
1120169477730004992,kelambuorens,91,75,84,90,87
1505019216294027265,williankran,87,55,95,85,61
1271444650352676864,oliviaviaiaa,58,74,75,67,87
1322393692594868224,notfua,94,63,78,73,67
843595231413092354,akiruyan,90,71,104,98,57
590344689,tb_1life2live,52,98,93,100,107
1515548260722749442,chaos2_v2,81,65,64,29,53
715205628,em_innocenti,67,97,89,87,111
700609133980987392,polarbear_xx,106,39,86,73,74
1406853637117079562,dreaming_in321,61,54,94,82,87
1131219979167260677,laurami94316132,75,82,83,93,106
1353857985924182016,shallein,94,71,75,88,61
15645309,emilyforeman,71,52,83,77,91
878369129673236480,iaruxa579,90,84,92,80,71
1210701496771325953,reszkyy_,79,56,84,102,84
1411307221351157760,ratnashar,46,88,94,64,113
598125514,zaulgt,81,58,91,80,76
1332853153964773377,j_l_rin,81,69,84,88,104
776945596867481600,bealoveskins,91,84,77,61,66
3730591276,jessicaruby1221,51,66,74,87,85
1129540057365393408,senamarissa,86,63,83,84,77
1490006400520814593,rosess27040584,92,47,91,107,68
1509061137358540805,masrama85033372,55,61,66,79,88
14317527,christinebarger,58,112,92,86,67
1120182585735491584,carlose26333238,74,89,93,91,100
100250466,drkcos,60,95,85,88,114
84429717,milenagreff,52,69,87,87,102
1287868151846363137,alvisvpresley,89,53,94,99,72
122362366,jmarceu_,85,46,73,82,79
544486979,lreginaguillenc,89,59,80,73,57
1239375143857606656,kathrynandbooks,92,56,90,76,81
186198162,ilnovelli,54,92,97,96,97
419772016,juanitoraw,69,87,101,105,75
852956082,ainhoacarlop,82,74,85,85,82
1310800822289100801,alluvia16,85,49,83,84,84
1192497475476701190,eumaeda10,73,92,92,88,90
1504897369904754694,chelseaxsong,88,77,100,82,61
316525366,sara_supertramp,59,102,81,66,73
2377964378,yubel1822,71,75,76,80,66
1020305866581368833,sio_sean,88,72,93,84,86
818966477453803523,brunourrutia11,65,94,103,71,85
830082404291379201,mafe130798,58,90,87,91,97
100805391,cemeca73,90,77,82,57,87
448831750,airinrizki17,65,62,77,80,98
1463128534432419846,dontapthis,84,54,74,74,62
107491042,inatalov3,91,49,82,95,103
723938530729312257,athabehy,61,83,95,103,87
1426650672812933120,mimariajulia_,55,85,106,84,93
1301240524125462530,karina97642694,84,57,72,99,65
2889000425,esteban_9124,95,70,78,93,97
705470232,guimt98,53,95,108,83,74
1070873061203660801,mangathaadaa,66,89,85,89,77
1015715486770741248,methiasmihing,72,80,73,102,100
48284059,tikatickey,63,94,102,59,86
1129021505000488960,love_pathfinder,51,89,94,87,91
1722243740,mxspringnights,106,76,101,84,77
878383736,soffinu3,61,96,94,88,111
201079041,floch_1993,78,72,86,78,102
1393538844843118593,chngshng1,81,72,99,100,60
2252435234,mariana_phy,64,86,106,103,108
1185532138365415424,likepetrichor,108,69,90,78,55
57253385,alnirapo,51,88,76,90,97
107015042,verymaojail,59,102,88,86,71
720857589492240384,mirzamustofa09,69,54,104,92,82
2930556145,jgdiff010,62,53,95,81,64
1032011891424423936,lifeng22127233,40,77,76,82,107
301574111,jobykob,67,70,91,97,84
600393714,ricardocorreyes,68,84,92,79,82
847821524132384768,zocatelli_,53,68,79,95,106
877848950409015297,pompurin207,73,60,67,82,84
234037933,denizmily,75,72,72,79,91
1400372822120321024,hypervolt1,91,71,75,28,111
144031892,xarthemisx,86,43,78,81,73
144031892,xarthemisx,86,43,78,81,73
2944480771,rafiwaetford,65,86,70,93,106
